ID,AREA,DEPENDENCIA,DEPENDENCIA SIMPLIF,NOMBRE ESTABLECIMIENTO,NOMBRE + OTRAS DENOMINACIONES,PROVINCIA,MUNICIPIO / DEPARTAMENTO,LOCALIDAD,DIRECCIÓN,DIRECCIÓN CONCAT,OBS,PÁG PDF,LATITUD,LONGITUD
322,321,ESTABLECIMIENTO EDUCATIVO,OTROS,ESCUELA DE EDUCACION FISICA DE LA UNT (EUDEF),ESCUELA DE EDUCACION FISICA DE LA UNT (EUDEF),TUCUMAN,SAN MIGUEL DE TUCUMAN,,Av. BENJAMIN ARAOZ 800,"ESCUELA DE EDUCACION FISICA DE LA UNT (EUDEF), Av. BENJAMIN ARAOZ 800, TUCUMAN, SAN MIGUEL DE TUCUMAN, ",Sitio señalizado el 23/04/2015 (placa) - rente a Parque 9 de Julio,64,-26.8329771,-65.1856577
1182,321,HOSPITAL PUBLICO,OTROS,"HOSPITAL ""ANGEL C. PADILLA""","HOSPITAL ""ANGEL C. PADILLA""",TUCUMAN,SAN MIGUEL DE TUCUMAN,,ALBERDI 550,"HOSPITAL ""ANGEL C. PADILLA"", ALBERDI 550, TUCUMAN, SAN MIGUEL DE TUCUMAN, ",,64,-26.8363582,-65.2157979
1190,321,HOSPITAL MILITAR,EJÉRCITO,"HOSPITAL MILITAR ""TUCUMAN""","HOSPITAL MILITAR ""TUCUMAN""",TUCUMAN,SAN MIGUEL DE TUCUMAN,,ITALIA y VIAMONTE,"HOSPITAL MILITAR ""TUCUMAN"", ITALIA y VIAMONTE, TUCUMAN, SAN MIGUEL DE TUCUMAN, ",,64,-26.8088914,-65.236168
241,321,DEPENDENCIA POLICIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,JEFATURA DE POLICIA DE LA PROVINCIA DE TUCUMAN ,JEFATURA DE POLICIA DE LA PROVINCIA DE TUCUMAN / JEFATURA CENTRAL,TUCUMAN,SAN MIGUEL DE TUCUMAN,,Av. SARMIENTO 800 e/Av. SALTA y JUNIN,"JEFATURA DE POLICIA DE LA PROVINCIA DE TUCUMAN / JEFATURA CENTRAL, Av. SARMIENTO 800 e/Av. SALTA y JUNIN, TUCUMAN, SAN MIGUEL DE TUCUMAN, ",Entrada por calle SANTA FE Sitio señalizado el 01/08/2010 (pilares),64,-26.8082848,-65.2175903
727,321,UNIDAD MILITAR EJERCITO,EJÉRCITO,REGIMIENTO DE INFANTERIA 19 ,REGIMIENTO DE INFANTERIA 19 / UNIDAD DE COMANDO AREA 321 / R I 19,TUCUMAN,SAN MIGUEL DE TUCUMAN,,Av. EJERCITO DEL NORTE e ITALIA,"REGIMIENTO DE INFANTERIA 19 / UNIDAD DE COMANDO AREA 321 / R I 19, Av. EJERCITO DEL NORTE e ITALIA, TUCUMAN, SAN MIGUEL DE TUCUMAN, ",Parque Roca,64,-26.8082848,-65.2175903
309,321,UNIDAD PENITENCIARIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,UNIDAD PENAL DE VILLA URQUIZA,UNIDAD PENAL DE VILLA URQUIZA,TUCUMAN,SAN MIGUEL DE TUCUMAN,,MEJICO 1200,"UNIDAD PENAL DE VILLA URQUIZA, MEJICO 1200, TUCUMAN, SAN MIGUEL DE TUCUMAN, ",,64,-26.8092279,-65.2117833
687,321,ESTABLECIMIENTO EDUCATIVO,OTROS,COLEGIO NACIONAL DE CONCEPCION,COLEGIO NACIONAL DE CONCEPCION,TUCUMAN, CHICLIGASTA,CONCEPCION,SIN DIRECCIÓN,"COLEGIO NACIONAL DE CONCEPCION, SIN DIRECCIÓN, TUCUMAN,  CHICLIGASTA, CONCEPCION",,64,-27.3462858,-65.5933287
930,321,DEPENDENCIA POLICIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,COMISARIA DE CONCEPCION,COMISARIA DE CONCEPCION,TUCUMAN, CHICLIGASTA,CONCEPCION,9 DE JULIO 40,"COMISARIA DE CONCEPCION, 9 DE JULIO 40, TUCUMAN,  CHICLIGASTA, CONCEPCION",,64,-27.3462799,-65.5921474
913,321,ESTABLECIMIENTO EDUCATIVO,OTROS,ESCUELA DE EL POTRERO,ESCUELA DE EL POTRERO,TUCUMAN, CHICLIGASTA,CONCEPCION,SIN DIRECCIÓN,"ESCUELA DE EL POTRERO, SIN DIRECCIÓN, TUCUMAN,  CHICLIGASTA, CONCEPCION",,64,-27.3462858,-65.5933287
717,321,UNIDAD PENITENCIARIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,UNIDAD PENAL DE CONCEPCION (CARCEL DE MUJERES),UNIDAD PENAL DE CONCEPCION (CARCEL DE MUJERES),TUCUMAN, CHICLIGASTA,CONCEPCION,SIN DIRECCIÓN,"UNIDAD PENAL DE CONCEPCION (CARCEL DE MUJERES), SIN DIRECCIÓN, TUCUMAN,  CHICLIGASTA, CONCEPCION",,64,-27.3462858,-65.5933287
1203,321,DEPENDENCIA ESTATAL,OTROS,AEROPUERTO DE CEVIL POZO (EN CONSTRUCCION) ,"AEROPUERTO DE CEVIL POZO (EN CONSTRUCCION) / Aeropuerto Internacional ""Tte. Benjamín Matienzo""",TUCUMAN, CRUZ ALTA,CEVIL POZO,SIN DIRECCIÓN,"AEROPUERTO DE CEVIL POZO (EN CONSTRUCCION) / Aeropuerto Internacional ""Tte. Benjamín Matienzo"", SIN DIRECCIÓN, TUCUMAN,  CRUZ ALTA, CEVIL POZO",,64,-26.8358526,-65.1083531
933,321,DEPENDENCIA POLICIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,COMISARIA DE INGENIO SAN JUAN,COMISARIA DE INGENIO SAN JUAN,TUCUMAN, CRUZ ALTA,BANDA DEL RIO SALI,SIN DIRECCIÓN,"COMISARIA DE INGENIO SAN JUAN, SIN DIRECCIÓN, TUCUMAN,  CRUZ ALTA, BANDA DEL RIO SALI",,64,-26.8552,-65.1576
692,321,DEPENDENCIA POLICIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,COMISARIA DE LAS CEJAS,COMISARIA DE LAS CEJAS,TUCUMAN, CRUZ ALTA,LAS CEJAS,25 DE MAYO s/nº,"COMISARIA DE LAS CEJAS, 25 DE MAYO s/nº, TUCUMAN,  CRUZ ALTA, LAS CEJAS",,65,-26.8896396,-64.7424682
1201,321,DEPENDENCIA POLICIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,COMISARIA DE LASTENIA,COMISARIA DE LASTENIA,TUCUMAN, CRUZ ALTA,LASTENIA,REPUBLICA y TORNQUINST,"COMISARIA DE LASTENIA, REPUBLICA y TORNQUINST, TUCUMAN,  CRUZ ALTA, LASTENIA",,65,-26.8597925,-65.1527367
938,321,DEPENDENCIA POLICIA PROVINCIAL,FUERZA DE SEGURIDAD PROVINCIAL,COMISARIA DE RANCHILLOS,COMISARIA DE RANCHILLOS,TUCUMAN, CRUZ ALTA,RANCHILLOS,SIN DIRECCIÓN,"COMISARIA DE RANCHILLOS, SIN DIRECCIÓN, TUCUMAN,  CRUZ ALTA, RANCHILLOS",,65,-26.9527436,-65.0486189
247,321,ESTABLECIMIENTO EDUCATIVO,OTROS,"ESCUELA ""REPUBLICA DEL PERU""","ESCUELA ""REPUBLICA DEL PERU""",TUCUMAN, CRUZ ALTA,BANDA DEL RIO SALI,SIN DIRECCIÓN,"ESCUELA ""REPUBLICA DEL PERU"", SIN DIRECCIÓN, TUCUMAN,  CRUZ ALTA, BANDA DEL RIO SALI",entre las calles Bolivia y Paraguay,65,-26.8348478,-65.1681693
1202,321,ESTABLECIMIENTO EDUCATIVO,OTROS,ESCUELA DE ALDERETES,ESCUELA DE ALDERETES,TUCUMAN, CRUZ ALTA,ALDERETES,SIN DIRECCIÓN,"ESCUELA DE ALDERETES, SIN DIRECCIÓN, TUCUMAN,  CRUZ ALTA, ALDERETES",,65,-26.8166695,-65.1333313
1191,321,ESTABLECIMIENTO PRIVADO,OTROS,"BASE MILITAR EN CITRICOLA ""SAN MIGUEL"" ","BASE MILITAR EN CITRICOLA ""SAN MIGUEL"" / FINCA ""MONTENEGRO""",TUCUMAN,FAMAILLA,,SIN DIRECCIÓN,"BASE MILITAR EN CITRICOLA ""SAN MIGUEL"" / FINCA ""MONTENEGRO"", SIN DIRECCIÓN, TUCUMAN, FAMAILLA, ",,65,-27.0541636,-65.404388
